date,expiry,symbol,contractSymbol,type,inTheMoney,strike,bid,ask,last,underlying,iv_mkt,rate,div_yield,volume,openInterest,lastTradeDate,quote_age_hours,mid,T
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00270000,call,True,270.0,203.05,206.1,206.39,472.1199951171875,2.534183352050781,0.03662118363952159,0.007201559000177629,19.0,52,2025-11-24 16:57:13+00:00,4.046388888888889,204.575,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00280000,call,True,280.0,193.1,196.1,196.47,472.1199951171875,2.4023477441406245,0.03662118363952159,0.007201559000177629,2.0,0,2025-11-24 16:57:13+00:00,4.046388888888889,194.6,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00290000,call,True,290.0,183.1,186.1,183.3,472.1199951171875,2.258793415527343,0.03662118363952159,0.007201559000177629,1.0,1,2025-11-21 17:03:04+00:00,75.94888888888889,184.6,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00300000,call,True,300.0,173.1,176.1,210.09,472.1199951171875,2.1201218872070307,0.03662118363952159,0.007201559000177629,,0,2025-11-05 16:21:49+00:00,460.6363888888889,174.6,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00310000,call,True,310.0,163.1,166.1,164.53,472.1199951171875,1.9853516357421874,0.03662118363952159,0.007201559000177629,1.0,0,2025-11-14 17:18:30+00:00,243.69166666666666,164.6,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00320000,call,True,320.0,153.1,156.1,158.4,472.1199951171875,1.8544929150390623,0.03662118363952159,0.007201559000177629,4.0,4,2025-11-20 20:36:03+00:00,96.39916666666667,154.6,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00350000,call,True,350.0,122.2,126.2,124.64,472.1199951171875,1.26172244140625,0.03662118363952159,0.007201559000177629,1.0,0,2025-11-24 20:52:47+00:00,0.12027777777777778,124.2,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00365000,call,True,365.0,107.2,111.2,142.61,472.1199951171875,1.1054732226562503,0.03662118363952159,0.007201559000177629,1.0,0,2025-11-17 15:09:46+00:00,173.8372222222222,109.2,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00380000,call,True,380.0,93.15,96.15,94.76,472.1199951171875,1.1455120849609375,0.03662118363952159,0.007201559000177629,1.0,1,2025-10-27 13:32:44+00:00,679.4544444444444,94.65,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00385000,call,True,385.0,88.15,91.2,98.63,472.1199951171875,1.0952193676757815,0.03662118363952159,0.007201559000177629,10.0,0,2025-11-19 19:49:52+00:00,121.16888888888889,89.67500000000001,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00390000,call,True,390.0,83.25,86.2,93.59,472.1199951171875,1.0517625537109376,0.03662118363952159,0.007201559000177629,51.0,0,2025-11-19 19:49:52+00:00,121.16888888888889,84.725,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00395000,call,True,395.0,78.15,81.2,80.1,472.1199951171875,0.9809572216796876,0.03662118363952159,0.007201559000177629,1.0,1,2025-11-24 17:55:06+00:00,3.0816666666666666,79.67500000000001,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00400000,call,True,400.0,73.1,76.25,76.31,472.1199951171875,0.9243171630859376,0.03662118363952159,0.007201559000177629,6.0,68,2025-11-24 16:59:38+00:00,4.006111111111111,74.675,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00405000,call,True,405.0,103.4,106.65,110.14,472.1199951171875,3.5559093133544915,0.03662118363952159,0.007201559000177629,,3,2025-10-15 17:02:11+00:00,963.9636111111112,105.025,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00410000,call,True,410.0,63.2,66.2,63.0,472.1199951171875,0.8178729150390623,0.03662118363952159,0.007201559000177629,6.0,3,2025-11-21 16:39:31+00:00,76.34138888888889,64.7,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00415000,call,True,415.0,58.25,61.2,78.16,472.1199951171875,0.7670921728515626,0.03662118363952159,0.007201559000177629,,0,2025-11-20 15:39:05+00:00,101.34861111111111,59.725,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00420000,call,True,420.0,53.2,56.2,55.81,472.1199951171875,0.7055693505859376,0.03662118363952159,0.007201559000177629,6.0,17,2025-11-24 16:35:25+00:00,4.409722222222222,54.7,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00422500,call,True,422.5,50.7,53.7,60.04,472.1199951171875,0.6772493212890626,0.03662118363952159,0.007201559000177629,,1,2025-11-20 17:12:17+00:00,99.79527777777778,52.2,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00425000,call,True,425.0,48.2,51.25,61.65,472.1199951171875,0.6540561938476563,0.03662118363952159,0.007201559000177629,15.0,3,2025-11-19 18:34:23+00:00,122.42694444444444,49.725,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00430000,call,True,430.0,43.2,46.25,44.1,472.1199951171875,0.5974161352539062,0.03662118363952159,0.007201559000177629,1.0,11,2025-11-21 19:33:12+00:00,73.44666666666667,44.725,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00432500,call,True,432.5,40.75,43.75,42.51,472.1199951171875,0.5732464550781251,0.03662118363952159,0.007201559000177629,2.0,4,2025-11-24 19:33:29+00:00,1.4419444444444445,42.25,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00435000,call,True,435.0,38.25,41.25,40.04,472.1199951171875,0.5449264257812501,0.03662118363952159,0.007201559000177629,2.0,27,2025-11-24 19:33:29+00:00,1.4419444444444445,39.75,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00437500,call,True,437.5,35.75,38.75,44.4,472.1199951171875,0.5161181201171875,0.03662118363952159,0.007201559000177629,,1,2025-11-20 19:19:55+00:00,97.66805555555555,37.25,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00440000,call,True,440.0,33.25,36.35,36.8,472.1199951171875,0.6679720703125002,0.03662118363952159,0.007201559000177629,17.0,60,2025-11-24 20:54:52+00:00,0.08555555555555555,34.8,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00442500,call,True,442.5,30.7,33.85,31.75,472.1199951171875,0.632816171875,0.03662118363952159,0.007201559000177629,51.0,45,2025-11-21 20:50:00+00:00,72.16666666666667,32.275,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00445000,call,True,445.0,28.25,31.35,31.65,472.1199951171875,0.5974161352539062,0.03662118363952159,0.007201559000177629,10.0,63,2025-11-24 20:54:50+00:00,0.08611111111111111,29.8,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00447500,call,True,447.5,25.85,28.9,47.1,472.1199951171875,0.5659223095703125,0.03662118363952159,0.007201559000177629,1.0,2,2025-11-18 14:56:38+00:00,150.0561111111111,27.375,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00450000,call,True,450.0,23.4,26.5,24.3,472.1199951171875,0.5376022802734376,0.03662118363952159,0.007201559000177629,125.0,291,2025-11-24 21:01:43+00:00,0.0,24.95,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00452500,call,True,452.5,21.55,24.1,22.2,472.1199951171875,0.5080615600585938,0.03662118363952159,0.007201559000177629,116.0,82,2025-11-24 20:39:15+00:00,0.3458333333333333,22.825000000000003,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00455000,call,True,455.0,19.2,21.7,20.6,472.1199951171875,0.4774222180175781,0.03662118363952159,0.007201559000177629,213.0,74,2025-11-24 16:52:17+00:00,4.128611111111111,20.45,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00457500,call,True,457.5,16.85,19.35,18.9,472.1199951171875,0.44885805053710937,0.03662118363952159,0.007201559000177629,112.0,60,2025-11-24 16:17:38+00:00,4.706111111111111,18.1,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00460000,call,True,460.0,14.6,17.2,15.0,472.1199951171875,0.4312801013183594,0.03662118363952159,0.007201559000177629,322.0,223,2025-11-24 20:33:07+00:00,0.44805555555555554,15.899999999999999,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00462500,call,True,462.5,11.95,13.65,13.3,472.1199951171875,0.3221503332519531,0.03662118363952159,0.007201559000177629,119.0,57,2025-11-24 20:40:47+00:00,0.3202777777777778,12.8,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00465000,call,True,465.0,10.65,12.55,10.95,472.1199951171875,0.3656069299316406,0.03662118363952159,0.007201559000177629,531.0,267,2025-11-24 21:01:43+00:00,0.0,11.600000000000001,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00467500,call,True,467.5,8.75,10.5,8.95,472.1199951171875,0.3437565625,0.03662118363952159,0.007201559000177629,695.0,227,2025-11-24 20:58:52+00:00,0.01888888888888889,9.625,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00470000,call,True,470.0,7.0,8.0,8.6,472.1199951171875,0.29328099304199207,0.03662118363952159,0.007201559000177629,3594.0,688,2025-11-24 21:01:43+00:00,0.0,7.5,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00472500,call,True,472.5,5.45,6.35,6.55,472.1199951171875,0.28174546386718746,0.03662118363952159,0.007201559000177629,2513.0,478,2025-11-24 21:01:43+00:00,0.0,5.9,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00475000,call,False,475.0,4.1,4.65,4.2,472.1199951171875,0.2591016473388672,0.03662118363952159,0.007201559000177629,8621.0,1133,2025-11-24 21:01:43+00:00,0.0,4.375,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00477500,call,False,477.5,3.0,3.25,3.15,472.1199951171875,0.24146266357421875,0.03662118363952159,0.007201559000177629,4135.0,1000,2025-11-24 21:01:43+00:00,0.0,3.125,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00480000,call,False,480.0,2.3,2.5,2.18,472.1199951171875,0.2474440490722656,0.03662118363952159,0.007201559000177629,14288.0,2886,2025-11-24 21:01:43+00:00,0.0,2.4,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00482500,call,False,482.5,1.75,1.8,1.56,472.1199951171875,0.2467116345214844,0.03662118363952159,0.007201559000177629,3093.0,1745,2025-11-24 21:01:43+00:00,0.0,1.775,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00485000,call,False,485.0,1.04,1.25,1.07,472.1199951171875,0.245124736328125,0.03662118363952159,0.007201559000177629,6619.0,2725,2025-11-24 21:01:43+00:00,0.0,1.145,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00487500,call,False,487.5,0.7,0.85,0.73,472.1199951171875,0.24463645996093752,0.03662118363952159,0.007201559000177629,2507.0,1972,2025-11-24 21:01:43+00:00,0.0,0.7749999999999999,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00490000,call,False,490.0,0.48,0.56,0.5,472.1199951171875,0.24390404541015626,0.03662118363952159,0.007201559000177629,5009.0,3943,2025-11-24 21:01:43+00:00,0.0,0.52,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00492500,call,False,492.5,0.32,0.38,0.36,472.1199951171875,0.24658956542968752,0.03662118363952159,0.007201559000177629,1501.0,1748,2025-11-24 20:54:44+00:00,0.08777777777777777,0.35,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00495000,call,False,495.0,0.21,0.25,0.22,472.1199951171875,0.2485426708984375,0.03662118363952159,0.007201559000177629,3307.0,3378,2025-11-24 20:59:34+00:00,0.007222222222222222,0.22999999999999998,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00497500,call,False,497.5,0.14,0.18,0.16,472.1199951171875,0.2553785400390626,0.03662118363952159,0.007201559000177629,1379.0,1575,2025-11-24 20:56:46+00:00,0.05388888888888889,0.16,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00500000,call,False,500.0,0.1,0.12,0.11,472.1199951171875,0.25879647460937505,0.03662118363952159,0.007201559000177629,4991.0,6757,2025-11-24 21:01:43+00:00,0.0,0.11,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00502500,call,False,502.5,0.06,0.09,0.08,472.1199951171875,0.266608896484375,0.03662118363952159,0.007201559000177629,876.0,995,2025-11-24 20:57:08+00:00,0.04777777777777778,0.075,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00505000,call,False,505.0,0.04,0.07,0.06,472.1199951171875,0.27539787109374997,0.03662118363952159,0.007201559000177629,865.0,2635,2025-11-24 20:56:22+00:00,0.06055555555555556,0.05500000000000001,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00507500,call,False,507.5,0.03,0.06,0.04,472.1199951171875,0.2880930566406249,0.03662118363952159,0.007201559000177629,236.0,1832,2025-11-24 20:42:24+00:00,0.29333333333333333,0.045,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00510000,call,False,510.0,0.03,0.05,0.05,472.1199951171875,0.29883513671874995,0.03662118363952159,0.007201559000177629,3027.0,7201,2025-11-24 20:53:53+00:00,0.10194444444444445,0.04,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00512500,call,False,512.5,0.02,0.04,0.03,472.1199951171875,0.30762411132812495,0.03662118363952159,0.007201559000177629,203.0,754,2025-11-24 20:53:24+00:00,0.11,0.03,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00515000,call,False,515.0,0.01,0.03,0.03,472.1199951171875,0.31445998046874996,0.03662118363952159,0.007201559000177629,1559.0,4204,2025-11-24 20:59:04+00:00,0.015555555555555555,0.02,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00517500,call,False,517.5,0.02,0.03,0.03,472.1199951171875,0.33008482421874996,0.03662118363952159,0.007201559000177629,24.0,1546,2025-11-24 20:30:04+00:00,0.4988888888888889,0.025,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00520000,call,False,520.0,0.02,0.03,0.02,472.1199951171875,0.34570966796874997,0.03662118363952159,0.007201559000177629,774.0,3771,2025-11-24 20:57:31+00:00,0.04138888888888889,0.025,0.00821917808219178
2025-11-24 21:00:00+00:00,2025-11-28 00:00:00+00:00,MSFT,MSFT251128C00522500,call,False,522.5,0.01,0.03,0.02,472.1199951171875,0.36133451171875,0.03662118363952159,0.007201559000177629,3.0,294,2025-11-24 20:25:38+00:00,0.5727777777777778,0.02,0.00821917808219178
