date,expiry,symbol,contractSymbol,type,inTheMoney,strike,bid,ask,last,underlying,iv_mkt,rate,div_yield,volume,openInterest,lastTradeDate,quote_age_hours,mid,T
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00365000,call,True,365.0,127.8,130.75,125.66,507.489990234375,1.4179716601562502,0.0370259995532744,0.006542000953490173,4.0,18,2025-11-14 16:55:04+00:00,100.08222222222223,129.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00370000,call,True,370.0,122.8,125.75,139.32,507.489990234375,1.3623078759765623,0.0370259995532744,0.006542000953490173,3.0,2,2025-11-13 17:27:17+00:00,123.54527777777778,124.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00375000,call,True,375.0,117.95,120.75,119.88,507.489990234375,1.337405656738281,0.0370259995532744,0.006542000953490173,1.0,6,2025-11-18 20:27:17+00:00,0.5452777777777778,119.35,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00380000,call,True,380.0,112.95,115.75,129.8,507.489990234375,1.2817418725585936,0.0370259995532744,0.006542000953490173,5.0,8,2025-11-17 17:42:32+00:00,27.29111111111111,114.35,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00385000,call,True,385.0,107.95,110.75,124.75,507.489990234375,1.2265663671875,0.0370259995532744,0.006542000953490173,5.0,17,2025-11-11 20:34:24+00:00,168.42666666666668,109.35,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00390000,call,True,390.0,103.0,105.75,104.29,507.489990234375,1.1806681591796875,0.0370259995532744,0.006542000953490173,2.0,29,2025-11-18 15:30:13+00:00,5.496388888888889,104.375,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00395000,call,True,395.0,98.0,100.75,114.8,507.489990234375,1.1259809326171877,0.0370259995532744,0.006542000953490173,1.0,15,2025-11-14 18:33:48+00:00,98.43666666666667,99.375,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00400000,call,True,400.0,92.8,95.75,89.3,507.489990234375,1.0390673046875003,0.0370259995532744,0.006542000953490173,18.0,175,2025-11-18 16:49:22+00:00,4.177222222222222,94.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00405000,call,True,405.0,87.9,90.3,89.0,507.489990234375,0.918946123046875,0.0370259995532744,0.006542000953490173,39.0,180,2025-11-18 20:41:28+00:00,0.3088888888888889,89.1,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00410000,call,True,410.0,83.0,85.3,84.58,507.489990234375,0.8896495410156249,0.0370259995532744,0.006542000953490173,12.0,84,2025-11-18 20:16:03+00:00,0.7325,84.15,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00415000,call,True,415.0,77.9,80.75,79.88,507.489990234375,0.8974619628906249,0.0370259995532744,0.006542000953490173,6.0,80,2025-11-18 16:16:23+00:00,4.726944444444444,79.325,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00420000,call,True,420.0,72.9,75.3,72.7,507.489990234375,0.77148666015625,0.0370259995532744,0.006542000953490173,4.0,109,2025-11-18 19:21:55+00:00,1.6347222222222222,74.1,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00425000,call,True,425.0,67.9,69.7,69.04,507.489990234375,0.8786633227539062,0.0370259995532744,0.006542000953490173,23.0,115,2025-11-18 20:14:20+00:00,0.7611111111111111,68.80000000000001,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00430000,call,True,430.0,62.6,65.6,65.06,507.489990234375,0.6748079394531252,0.0370259995532744,0.006542000953490173,13.0,61,2025-11-18 20:46:21+00:00,0.2275,64.1,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00435000,call,True,435.0,57.9,60.75,57.83,507.489990234375,0.6899445068359377,0.0370259995532744,0.006542000953490173,54.0,186,2025-11-18 19:16:00+00:00,1.7333333333333334,59.325,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00440000,call,True,440.0,52.9,55.35,52.7,507.489990234375,0.5864299169921875,0.0370259995532744,0.006542000953490173,2.0,262,2025-11-18 19:07:36+00:00,1.8733333333333333,54.125,0.005479452054794521
